trade_id,trend,momentum,volume,volatility,structure,execution,consistency,probability,expected_return,expected_loss,expected_value,realized_return,pnl
T0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5872700594236813,150.0,-100.0,46.81751485592031,-80.56934385697923,-80.56934385697923
T1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42904180608409975,150.0,-100.0,7.260451521024933,-54.30910430775924,-54.30910430775924
T2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41029224714790125,150.0,-100.0,2.573061786975309,-114.08423157804856,-114.08423157804856
T3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5521211214797689,150.0,-100.0,38.030280369942226,177.12800217929822,177.12800217929822
T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7059264473611897,150.0,-100.0,76.48161184029742,104.59879622393944,104.59879622393944
T5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4998368910791799,150.0,-100.0,24.959222769794977,-142.36911104005875,-142.36911104005875
T6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7037724259507192,150.0,-100.0,75.9431064876798,119.96806550405975,119.96806550405975
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46101911742238944,150.0,-100.0,15.25477935559735,-108.7508124937983,-108.7508124937983
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5293899908000085,150.0,-100.0,32.347497700002116,-93.73409214985733,-93.73409214985733
T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8847923138822793,150.0,-100.0,121.19807847056981,52.016493806011226,52.016493806011226
T10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989499894055426,150.0,-100.0,74.73749735138566,-103.46944847164721,-103.46944847164721
T11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8143687545759647,150.0,-100.0,103.59218864399118,134.94481522053556,134.94481522053556
T12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47046211248738135,150.0,-100.0,17.61552812184533,-120.30766000917876,-120.30766000917876
T13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7534286719238086,150.0,-100.0,88.35716798095214,180.5838144420434,180.5838144420434
T14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5792328642721363,150.0,-100.0,44.80821606803407,166.5631715701782,166.5631715701782
T15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5554911608578311,150.0,-100.0,38.87279021445778,198.77725635611796,198.77725635611796
T16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8436063712881633,150.0,-100.0,110.90159282204081,168.0818012523817,168.0818012523817
T17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7854835899772805,150.0,-100.0,96.37089749432013,117.74401226974379,117.74401226974379
T18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4127095633720476,150.0,-100.0,3.1773908430119064,154.35235341190855,154.35235341190855
T19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8537832369630465,150.0,-100.0,113.44580924076163,135.04963247670662,135.04963247670662
T20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5143990827458113,150.0,-100.0,28.599770686452814,109.57531985534061,109.57531985534061
T21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7167018782552117,150.0,-100.0,79.17546956380292,-115.0527113075361,-115.0527113075361
T22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8462794992449889,150.0,-100.0,111.56987481124723,114.89734530613238,114.89734530613238
T23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8090073829612465,150.0,-100.0,102.25184574031164,-109.82986439793305,-109.82986439793305
T24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6087055015743895,150.0,-100.0,52.176375393597375,132.86427417366153,132.86427417366153
T25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659395310871683,150.0,-100.0,64.84882771792076,-124.06831807664857,-124.06831807664857
T26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8812236474710556,150.0,-100.0,120.30591186776391,54.06143923504793,54.06143923504793
T27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7047821669899484,150.0,-100.0,76.19554174748711,148.67430622753915,148.67430622753915
T28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8541329429833269,150.0,-100.0,113.53323574583172,148.26441151473784,148.26441151473784
T29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7360677737029393,150.0,-100.0,84.01694342573482,-135.06034112858595,-135.06034112858595
T30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5838915663596267,150.0,-100.0,45.97289158990667,-82.39428718599189,-82.39428718599189
T31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5603900324858679,150.0,-100.0,40.09750812146699,259.5227812904989,259.5227812904989
T32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7387821809211412,150.0,-100.0,84.6955452302853,72.46682844669337,72.46682844669337
T33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745468869051233,150.0,-100.0,86.36721726280825,153.42814874030137,153.42814874030137
T34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5705331755251293,150.0,-100.0,42.63329388128232,190.67586086848348,190.67586086848348
T35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6648252891780033,150.0,-100.0,66.20632229450084,88.45678417830223,88.45678417830223
T36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8502090285816652,150.0,-100.0,112.5522571454163,88.1524644560959,88.1524644560959
T37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8435432121325587,150.0,-100.0,110.88580303313967,83.97716934578618,83.97716934578618
T38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4808143570473069,150.0,-100.0,20.203589261826735,-91.20782580103956,-91.20782580103956
T39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.674366894683293,150.0,-100.0,68.59172367082326,-121.43054254079104,-121.43054254079104
T40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.756089610673768,150.0,-100.0,89.022402668442,207.9297789503702,207.9297789503702
T41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7288064461501718,150.0,-100.0,82.20161153754295,108.96588408241448,108.96588408241448
T42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5326011838408627,150.0,-100.0,33.15029596021569,146.1449145292948,146.1449145292948
T43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7974056517708242,150.0,-100.0,99.35141294270605,167.0575987408322,167.0575987408322
T44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49762149389902227,150.0,-100.0,24.405373474755564,-132.12677494183336,-132.12677494183336
T45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8574321951102243,150.0,-100.0,114.35804877755606,174.12362076215928,174.12362076215928
T46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6140920741586572,150.0,-100.0,53.5230185396643,-125.40381154205215,-125.40381154205215
T47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48474637334304627,150.0,-100.0,21.186593335761565,-145.44541674057592,-145.44541674057592
T48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6850305850446825,150.0,-100.0,71.25764626117063,152.9104359223,152.9104359223
T49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748507870497634,150.0,-100.0,87.1269676244085,92.85148510846884,92.85148510846884
T50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8046805777392568,150.0,-100.0,101.1701444348142,-84.54856941081856,-84.54856941081856
T51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7509834386288516,150.0,-100.0,87.74585965721292,15.58194471964164,15.58194471964164
T52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5877914763199721,150.0,-100.0,46.94786907999301,125.73182260854483,125.73182260854483
T53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5432706260641422,150.0,-100.0,35.81765651603556,-97.54377581841032,-97.54377581841032
T54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8113002803298291,150.0,-100.0,102.82507008245727,153.21400095477313,153.21400095477313
