Bin,TradeCount,Predicted,Observed,BrierScore,CalibrationError
"(0.0, 0.1]",0,,,0.2016693879328947,0.03385062104807326
"(0.1, 0.2]",0,,,0.2016693879328947,0.03385062104807326
"(0.2, 0.3]",0,,,0.2016693879328947,0.03385062104807326
"(0.3, 0.4]",0,,,0.2016693879328947,0.03385062104807326
"(0.4, 0.5]",210,0.4516763081052615,0.4,0.2016693879328947,0.03385062104807326
"(0.5, 0.6]",198,0.5527954323972876,0.6262626262626263,0.2016693879328947,0.03385062104807326
"(0.6, 0.7]",184,0.6541454366840838,0.6630434782608695,0.2016693879328947,0.03385062104807326
"(0.7, 0.8]",206,0.7476883717333948,0.7766990291262136,0.2016693879328947,0.03385062104807326
"(0.8, 0.9]",202,0.8506864202355545,0.8465346534653465,0.2016693879328947,0.03385062104807326
"(0.9, 1.0]",0,,,0.2016693879328947,0.03385062104807326
